【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
445e    92dc    爪      36-62
445f    92dd    吊      36-63
4460    92de    釣      36-64
4461    92df    鶴      36-65
4462    92e0    亭      36-66
4463    92e1    低      36-67
4464    92e2    停      36-68
4465    92e3    偵      36-69
4466    92e4    剃      36-70
4467    92e5    貞      36-71
4468    92e6    呈      36-72
4469    92e7    堤      36-73
446a    92e8    定      36-74
446b    92e9    帝      36-75
446c    92ea    底      36-76
446d    92eb    庭      36-77
446e    92ec    廷      36-78
446f    92ed    弟      36-79
4470    92ee    悌      36-80
4471    92ef    抵      36-81
4472    92f0    挺      36-82
4473    92f1    提      36-83
4474    92f2    梯      36-84
4475    92f3    汀      36-85
4476    92f4    碇      36-86
4477    92f5    禎      36-87
4478    92f6    程      36-88
4479    92f7    締      36-89
447a    92f8    艇      36-90
447b    92f9    訂      36-91
447c    92fa    諦      36-92
447d    92fb    蹄      36-93
447e    92fc    逓      36-94
4521    9340    邸      37-01
4522    9341    鄭      37-02
4523    9342    釘      37-03
4524    9343    鼎      37-04
4525    9344    泥      37-05
4526    9345    摘      37-06
4527    9346    擢      37-07
4528    9347    敵      37-08
4529    9348    滴      37-09
452a    9349    的      37-10
452b    934a    笛      37-11
452c    934b    適      37-12
452d    934c    鏑      37-13
452e    934d    溺      37-14
452f    934e    哲      37-15
4530    934f    徹      37-16
4531    9350    撤      37-17
4532    9351    轍      37-18
4533    9352    迭      37-19
4534    9353    鉄      37-20
4535    9354    典      37-21
4536    9355    填      37-22
4537    9356    天      37-23
4538    9357    展      37-24
4539    9358    店      37-25
453a    9359    添      37-26
453b    935a    纏      37-27
453c    935b    甜      37-28
453d    935c    貼      37-29
453e    935d    転      37-30
453f    935e    顛      37-31
4540    935f    点      37-32
4541    9360    伝      37-33
4542    9361    殿      37-34
4543    9362    澱      37-35
4544    9363    田      37-36
4545    9364    電      37-37
4546    9365    兎      37-38
4547    9366    吐      37-39
4548    9367    堵      37-40
4549    9368    塗      37-41
454a    9369    妬      37-42
454b    936a    屠      37-43
454c    936b    徒      37-44
454d    936c    斗      37-45
454e    936d    杜      37-46
454f    936e    渡      37-47
4550    936f    登      37-48
4551    9370    菟      37-49
4552    9371    賭      37-50
4553    9372    途      37-51
4554    9373    都      37-52
4555    9374    鍍      37-53
4556    9375    砥      37-54
4557    9376    砺      37-55
4558    9377    努      37-56
4559    9378    度      37-57
455a    9379    土      37-58
455b    937a    奴      37-59
455c    937b    怒      37-60
455d    937c    倒      37-61
455e    937d    党      37-62
455f    937e    冬      37-63
4560    9380    凍      37-64
4561    9381    刀      37-65
4562    9382    唐      37-66
4563    9383    塔      37-67
4564    9384    塘      37-68
4565    9385    套      37-69
4566    9386    宕      37-70
4567    9387    島      37-71
4568    9388    嶋      37-72
4569    9389    悼      37-73
456a    938a    投      37-74
456b    938b    搭      37-75
456c    938c    東      37-76
456d    938d    桃      37-77
456e    938e    梼      37-78
456f    938f    棟      37-79
4570    9390    盗      37-80
4571    9391    淘      37-81
4572    9392    湯      37-82
4573    9393    涛      37-83
4574    9394    灯      37-84
4575    9395    燈      37-85
4576    9396    当      37-86
4577    9397    痘      37-87
4578    9398    祷      37-88
4579    9399    等      37-89
457a    939a    答      37-90
457b    939b    筒      37-91
457c    939c    糖      37-92
457d    939d    統      37-93
457e    939e    到      37-94
4621    939f    董      38-01
4622    93a0    蕩      38-02
4623    93a1    藤      38-03
4624    93a2    討      38-04
4625    93a3    謄      38-05
4626    93a4    豆      38-06
4627    93a5    踏      38-07
4628    93a6    逃      38-08
4629    93a7    透      38-09
462a    93a8    鐙      38-10
462b    93a9    陶      38-11
462c    93aa    頭      38-12
462d    93ab    騰      38-13
462e    93ac    闘      38-14
462f    93ad    働      38-15
4630    93ae    動      38-16
4631    93af    同      38-17
4632    93b0    堂      38-18
4633    93b1    導      38-19
4634    93b2    憧      38-20
4635    93b3    撞      38-21
4636    93b4    洞      38-22
4637    93b5    瞳      38-23
4638    93b6    童      38-24
4639    93b7    胴      38-25
463a    93b8    萄      38-26
463b    93b9    道      38-27
463c    93ba    銅      38-28
463d    93bb    峠      38-29
463e    93bc    鴇      38-30
463f    93bd    匿      38-31
4640    93be    得      38-32
4641    93bf    徳      38-33
4642    93c0    涜      38-34
4643    93c1    特      38-35
4644    93c2    督      38-36
4645    93c3    禿      38-37
4646    93c4    篤      38-38
4647    93c5    毒      38-39
4648    93c6    独      38-40
4649    93c7    読      38-41
464a    93c8    栃      38-42
464b    93c9    橡      38-43
464c    93ca    凸      38-44
464d    93cb    突      38-45
464e    93cc    椴      38-46
464f    93cd    届      38-47
4650    93ce    鳶      38-48
4651    93cf    苫      38-49
4652    93d0    寅      38-50
4653    93d1    酉      38-51
4654    93d2    瀞      38-52
4655    93d3    噸      38-53
4656    93d4    屯      38-54
4657    93d5    惇      38-55
4658    93d6    敦      38-56
4659    93d7    沌      38-57
465a    93d8    豚      38-58
465b    93d9    遁      38-59
465c    93da    頓      38-60
465d    93db    呑      38-61
465e    93dc    曇      38-62
465f    93dd    鈍      38-63
4660    93de    奈      38-64
4661    93df    那      38-65
4662    93e0    内      38-66
4663    93e1    乍      38-67
4664    93e2    凪      38-68
4665    93e3    薙      38-69
4666    93e4    謎      38-70
4667    93e5    灘      38-71
4668    93e6    捺      38-72
4669    93e7    鍋      38-73
466a    93e8    楢      38-74
466b    93e9    馴      38-75
466c    93ea    縄      38-76
466d    93eb    畷      38-77
466e    93ec    南      38-78
466f    93ed    楠      38-79
4670    93ee    軟      38-80
4671    93ef    難      38-81
4672    93f0    汝      38-82
4673    93f1    二      38-83
4674    93f2    尼      38-84
4675    93f3    弐      38-85
4676    93f4    迩      38-86
4677    93f5    匂      38-87
4678    93f6    賑      38-88
4679    93f7    肉      38-89
467a    93f8    虹      38-90
467b    93f9    廿      38-91
467c    93fa    日      38-92
467d    93fb    乳      38-93
467e    93fc    入      38-94
4721    9440    如      39-01
4722    9441    尿      39-02
4723    9442    韮      39-03
4724    9443    任      39-04
4725    9444    妊      39-05
4726    9445    忍      39-06
4727    9446    認      39-07
4728    9447    濡      39-08
4729    9448    禰      39-09
472a    9449    祢      39-10
472b    944a    寧      39-11
472c    944b    葱      39-12
472d    944c    猫      39-13
472e    944d    熱      39-14
472f    944e    年      39-15
4730    944f    念      39-16
4731    9450    捻      39-17
4732    9451    撚      39-18
4733    9452    燃      39-19
4734    9453    粘      39-20
4735    9454    乃      39-21
4736    9455    廼      39-22
4737    9456    之      39-23
4738    9457    埜      39-24
4739    9458    嚢      39-25
473a    9459    悩      39-26
473b    945a    濃      39-27
473c    945b    納      39-28
473d    945c    能      39-29
473e    945d    脳      39-30
473f    945e    膿      39-31
4740    945f    農      39-32
4741    9460    覗      39-33
4742    9461    蚤      39-34
4743    9462    巴      39-35
4744    9463    把      39-36
4745    9464    播      39-37
4746    9465    覇      39-38
4747    9466    杷      39-39
4748    9467    波      39-40
4749    9468    派      39-41
474a    9469    琶      39-42
474b    946a    破      39-43
474c    946b    婆      39-44
474d    946c    罵      39-45
474e    946d    芭      39-46
474f    946e    馬      39-47
4750    946f    俳      39-48
4751    9470    廃      39-49
4752    9471    拝      39-50
4753    9472    排      39-51
4754    9473    敗      39-52
4755    9474    杯      39-53
4756    9475    盃      39-54
4757    9476    牌      39-55
4758    9477    背      39-56
4759    9478    肺      39-57
475a    9479    輩      39-58
475b    947a    配      39-59
475c    947b    倍      39-60
475d    947c    培      39-61
475e    947d    媒      39-62
475f    947e    梅      39-63
4760    9480    楳      39-64
4761    9481    煤      39-65
4762    9482    狽      39-66
4763    9483    買      39-67
4764    9484    売      39-68
4765    9485    賠      39-69
4766    9486    陪      39-70
4767    9487    這      39-71
4768    9488    蝿      39-72
4769    9489    秤      39-73
476a    948a    矧      39-74
476b    948b    萩      39-75
476c    948c    伯      39-76
476d    948d    剥      39-77
476e    948e    博      39-78
476f    948f    拍      39-79
4770    9490    柏      39-80
4771    9491    泊      39-81
4772    9492    白      39-82
4773    9493    箔      39-83
4774    9494    粕      39-84
4775    9495    舶      39-85
4776    9496    薄      39-86
4777    9497    迫      39-87
4778    9498    曝      39-88
4779    9499    漠      39-89
477a    949a    爆      39-90
477b    949b    縛      39-91
477c    949c    莫      39-92
477d    949d    駁      39-93
477e    949e    麦      39-94
4821    949f    函      40-01
4822    94a0    箱      40-02
4823    94a1    硲      40-03
4824    94a2    箸      40-04
4825    94a3    肇      40-05
4826    94a4    筈      40-06
4827    94a5    櫨      40-07
4828    94a6    幡      40-08
4829    94a7    肌      40-09
482a    94a8    畑      40-10
482b    94a9    畠      40-11
482c    94aa    八      40-12
482d    94ab    鉢      40-13
482e    94ac    溌      40-14
482f    94ad    発      40-15
4830    94ae    醗      40-16
4831    94af    髪      40-17
4832    94b0    伐      40-18
4833    94b1    罰      40-19
4834    94b2    抜      40-20
4835    94b3    筏      40-21
4836    94b4    閥      40-22
4837    94b5    鳩      40-23
4838    94b6    噺      40-24
4839    94b7    塙      40-25
483a    94b8    蛤      40-26
483b    94b9    隼      40-27
483c    94ba    伴      40-28
483d    94bb    判      40-29
483e    94bc    半      40-30
483f    94bd    反      40-31
4840    94be    叛      40-32
4841    94bf    帆      40-33
4842    94c0    搬      40-34
4843    94c1    斑      40-35
4844    94c2    板      40-36
4845    94c3    氾      40-37
4846    94c4    汎      40-38
4847    94c5    版      40-39
4848    94c6    犯      40-40
4849    94c7    班      40-41
484a    94c8    畔      40-42
484b    94c9    繁      40-43
484c    94ca    般      40-44
484d    94cb    藩      40-45
484e    94cc    販      40-46
484f    94cd    範      40-47
4850    94ce    釆      40-48
4851    94cf    煩      40-49
4852    94d0    頒      40-50
4853    94d1    飯      40-51
4854    94d2    挽      40-52
4855    94d3    晩      40-53
4856    94d4    番      40-54
4857    94d5    盤      40-55
4858    94d6    磐      40-56
4859    94d7    蕃      40-57
485a    94d8    蛮      40-58
485b    94d9    匪      40-59
485c    94da    卑      40-60
485d    94db    否      40-61
485e    94dc    妃      40-62
485f    94dd    庇      40-63
4860    94de    彼      40-64
4861    94df    悲      40-65
4862    94e0    扉      40-66
4863    94e1    批      40-67
4864    94e2    披      40-68
4865    94e3    斐      40-69
4866    94e4    比      40-70
4867    94e5    泌      40-71
4868    94e6    疲      40-72
4869    94e7    皮      40-73
486a    94e8    碑      40-74
486b    94e9    秘      40-75
486c    94ea    緋      40-76
486d    94eb    罷      40-77
486e    94ec    肥      40-78
486f    94ed    被      40-79
4870    94ee    誹      40-80
4871    94ef    費      40-81
4872    94f0    避      40-82
4873    94f1    非      40-83
4874    94f2    飛      40-84
4875    94f3    樋      40-85
4876    94f4    簸      40-86
4877    94f5    備      40-87
4878    94f6    尾      40-88
4879    94f7    微      40-89
487a    94f8    枇      40-90
487b    94f9    毘      40-91
487c    94fa    琵      40-92
487d    94fb    眉      40-93
487e    94fc    美      40-94
4921    9540    鼻      41-01
4922    9541    柊      41-02
4923    9542    稗      41-03
4924    9543    匹      41-04
4925    9544    疋      41-05
4926    9545    髭      41-06
4927    9546    彦      41-07
4928    9547    膝      41-08
4929    9548    菱      41-09
492a    9549    肘      41-10
492b    954a    弼      41-11
492c    954b    必      41-12
492d    954c    畢      41-13
492e    954d    筆      41-14
492f    954e    逼      41-15
4930    954f    桧      41-16
4931    9550    姫      41-17
4932    9551    媛      41-18
4933    9552    紐      41-19
4934    9553    百      41-20
4935    9554    謬      41-21
4936    9555    俵      41-22
4937    9556    彪      41-23
4938    9557    標      41-24
4939    9558    氷      41-25
493a    9559    漂      41-26
493b    955a    瓢      41-27
493c    955b    票      41-28
493d    955c    表      41-29
493e    955d    評      41-30
493f    955e    豹      41-31
4940    955f    廟      41-32
